id_parlamentar_voz,casa,ano,uf,id_partido,total_votos,total_votos_uf
1204389,camara,2018,GO,36832,74877,3031194
1178854,camara,2018,BA,36769,103823,6868013
1198783,camara,2018,MT,36845,76781,1481262
1161550,camara,2018,MG,36832,103533,10078120
1207309,camara,2018,MG,36837,28884,10078120
1132504,camara,2018,PR,36844,62169,5731922
1204537,camara,2018,SP,36851,108038,21104181
1160575,camara,2018,DF,36844,89986,1439876
1160640,camara,2018,MG,36763,157394,10078120
1204482,camara,2018,MG,36833,65316,10078120
1178871,camara,2018,ES,37903,48412,1933018
1178953,camara,2018,RO,36834,39953,783305
1211866,camara,2018,MG,37905,67008,10078120
1141428,camara,2018,RN,36834,70350,1609833
168720,camara,2018,SE,36786,35226,998669
1178969,camara,2018,SE,36834,102899,998669
1141427,camara,2018,MG,36899,63149,10078120
1171623,camara,2018,SE,36899,64879,998669
1204368,camara,2018,SC,36837,87345,3548458
1160587,camara,2018,MS,36834,89385,1240027
166828,camara,2018,SP,37903,118684,21104181
1204477,camara,2018,RJ,36837,47065,7720770
172442,camara,2018,PE,36832,114268,4331764
1204398,camara,2018,PR,36837,241537,5731922
1204371,camara,2018,ES,36832,84405,1933018
1160666,camara,2018,BA,36786,91913,6868013
1204407,camara,2018,RS,36839,114302,5845077
1212504,camara,2018,MG,36898,35595,10078120
1141431,camara,2018,PE,36769,92188,4331764
1204445,camara,2018,RN,36844,98070,1609833
192699,camara,2018,PE,37903,82071,4331764
1204427,camara,2018,PE,36793,52824,4331764
1204411,camara,2018,PR,36837,75326,5731922
1204354,camara,2018,DF,37906,121340,1439876
1160598,camara,2018,GO,36786,169774,3031194
1141434,camara,2018,AC,36899,18723,424991
1191923,camara,2018,PI,36786,111672,1787802
1204447,camara,2018,RJ,36834,196959,7720770
1204392,camara,2018,GO,36834,111788,3031194
1204510,camara,2018,MG,36793,53390,10078120
1204494,camara,2018,MG,37907,87446,10078120
1204393,camara,2018,PB,36844,91408,1989377
174200,camara,2018,MA,36763,57864,3270678
1115746,camara,2018,RJ,36793,28216,7720770
1160669,camara,2018,CE,36765,113515,4594520
1204473,camara,2018,RN,36837,81640,1609833
1204484,camara,2018,SP,36837,74190,21104181
1204527,camara,2018,SP,36769,89378,21104181
1178966,camara,2018,SC,36835,101937,3548458
174374,camara,2018,MS,36835,61675,1240027
1204394,camara,2018,PB,36832,146860,1989377
174383,camara,2018,PR,37906,111384,5731922
1204575,camara,2018,MA,36786,72038,3270678
1204491,camara,2018,MG,36815,162092,10078120
