id_proposicao_voz,id_votacao,casa,obj_votacao,data_hora,votacao_secreta,apelido,status_importante,url_votacao
2143101,6152,senado,"Votação da Medida Provisória nº 986 de 2020, em conjunto com seus Pressupostos de Relevância e Urgência.",2020-07-22T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=143101&p_cod_materia_f=143101&p_cod_sessao_votacao_i=6152&p_cod_sessao_votacao_f=6152
2141349,6158,senado,Votação do Projeto de Lei de Conversão nº 22 de 2020 e Pressupostos de Relevância e Urgência da MPV nº 934/2020.,2020-07-23T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141349&p_cod_materia_f=141349&p_cod_sessao_votacao_i=6158&p_cod_sessao_votacao_f=6158
2142263,6159,senado,Votação do Projeto de Lei de Conversão nº 24 de 2020 e Pressupostos de Relevância e Urgência da MPV nº 975/2020.,2020-07-29T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=142263&p_cod_materia_f=142263&p_cod_sessao_votacao_i=6159&p_cod_sessao_votacao_f=6159
2141417,6160,senado,"Votação do Projeto de Lei de Conversão nº 30 de 2020 e Pressupostos de Relevância e Urgência da MPV nº 945/2020, ressalvado o destaque.",2020-07-30T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141417&p_cod_materia_f=141417&p_cod_sessao_votacao_i=6160&p_cod_sessao_votacao_f=6160
2141417,6161,senado,"Votação do Art. 12º do Projeto de Lei de Conversão nº 30, de 2020, destacado.",2020-07-30T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141417&p_cod_materia_f=141417&p_cod_sessao_votacao_i=6161&p_cod_sessao_votacao_f=6161
2141475,6162,senado,"Votação do PLV nº 31, de 2020 e Pres. de Relevância e Urgência, com adendo do Relator.",2020-07-30T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141475&p_cod_materia_f=141475&p_cod_sessao_votacao_i=6162&p_cod_sessao_votacao_f=6162
2141297,6163,senado,"Emenda nº 56 - PLEN (Substitutivo) do Relator ao PL nº 1.166, de 2020, ressalvados os destaques.",2020-08-05T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141297&p_cod_materia_f=141297&p_cod_sessao_votacao_i=6163&p_cod_sessao_votacao_f=6163
2141297,6164,senado,"Votação da Emenda nº 53 - PLEN ao Projeto de Lei nº 1.166, de 2020, destacada.",2020-08-05T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141297&p_cod_materia_f=141297&p_cod_sessao_votacao_i=6164&p_cod_sessao_votacao_f=6164
2142077,6165,senado,"Votação do Projeto de Lei Complementar nº 135, de 2020 e Emendas, nos termos do Parecer.",2020-08-13T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=142077&p_cod_materia_f=142077&p_cod_sessao_votacao_i=6165&p_cod_sessao_votacao_f=6165
2143551,6166,senado,"Votação das Emendas nºs 11 e 15 - PLEN ao Projeto de Lei nº 2.824, de 2020, destacadas.",2020-08-13T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=143551&p_cod_materia_f=143551&p_cod_sessao_votacao_i=6166&p_cod_sessao_votacao_f=6166
2143258,6168,senado,"Votação da Decisão do Presidente para retirada de pauta do Projeto de Lei nº 3.267, de 2019.",2020-08-18T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=143258&p_cod_materia_f=143258&p_cod_sessao_votacao_i=6168&p_cod_sessao_votacao_f=6168
2143611,6167,senado,"Votação da Proposta de Emenda à Constituição nº 26, de 2020, e Emenda, nos termos do Parecer (1º Turno).",2020-08-25T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=143611&p_cod_materia_f=143611&p_cod_sessao_votacao_i=6167&p_cod_sessao_votacao_f=6167
2143611,6169,senado,"Votação da Proposta de Emenda à Constituição nº 26, de 2020 (2º Turno).",2020-08-25T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=143611&p_cod_materia_f=143611&p_cod_sessao_votacao_i=6169&p_cod_sessao_votacao_f=6169
2141753,6170,senado,"Votação do PLV nº 34/2020 e Pressupostos de Relevância e Urgência da MPV nº 959/2020, nos termos do Parecer.",2020-08-26T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141753&p_cod_materia_f=141753&p_cod_sessao_votacao_i=6170&p_cod_sessao_votacao_f=6170
