id_discurso,id_parlamentar_voz,casa,tipo,data,local,resumo,link
1499,1156190,camara,PELA ORDEM,2019-04-02,NA,Solicitação a partidos de apoio à votação nominal da Emenda de Plenário nº 4.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=3%2F4%2F2019&txPagina=135&txSuplemento=&enviar=Pesquisar
1500,1156190,camara,PELA ORDEM,2019-04-02,NA,Orientação da bancada na votação do requerimento de destaque para a votação em separado da Emenda nº 4.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=3%2F4%2F2019&txPagina=136&txSuplemento=&enviar=Pesquisar
1501,1156190,camara,PELA ORDEM,2019-04-02,NA,"Orientação da bancada na votação do requerimento de destaque para votação em separado do art. 55-A, da Lei nº 9.096, de 1995, acrescido pelo art. 2º do substitutivo oferecido ao Projeto de Lei nº 1.321, de 2019.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=3%2F4%2F2019&txPagina=167&txSuplemento=&enviar=Pesquisar
1502,1156190,camara,PELA ORDEM,2019-04-02,NA,Protesto contra a alteração do mérito do projeto de lei em votação pela emenda de redação.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=3%2F4%2F2019&txPagina=173&txSuplemento=&enviar=Pesquisar
1503,1156190,camara,PELA ORDEM,2019-04-02,NA,Orientação da bancada na votação da Emenda de Redação nº 1.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=3%2F4%2F2019&txPagina=176&txSuplemento=&enviar=Pesquisar
1504,1156190,camara,PELA ORDEM,2019-04-03,NA,"Orientação de bancada na votação do substitutivo oferecido pela Relatora da Comissão de Defesa dos Direitos das Pessoas com Deficiência. Repúdio às ofensas do Deputado Zeca Dirceu ao Ministro da Economia, Paulo Guedes, durante reunião na Comissão de Constituição e Justiça e de Cidadania.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=4%2F4%2F2019&txPagina=242&txSuplemento=&enviar=Pesquisar
1505,1156190,camara,COMO LÍDER,2019-04-03,NA,"Repúdio às ofensas desferidas contra o Ministro da Economia, Paulo Guedes, durante reunião destinada ao debate da reforma previdenciária, na Comissão de Constituição e Justiça e de Cidadania.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=4%2F4%2F2019&txPagina=254&txSuplemento=&enviar=Pesquisar
1506,1156190,camara,DISCUSSÃO,2019-04-04,NA,"Discussão do Projeto de Decreto Legislativo nº 860-A, de 2017, sobre a aprovação dos textos do Protocolo referente ao Acordo de Madri relativo ao Registro Internacional de Marcas, adotado em Madri, em 27 de junho de 1989, e do respectivo Regulamento Comum do Acordo de Madri relativo ao Registro Internacional de Marcas e do Protocolo referente a esse Acordo, bem como a formulação das declarações e notificações especificadas.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=5%2F4%2F2019&txPagina=37&txSuplemento=&enviar=Pesquisar
1507,1156190,camara,PELA ORDEM,2019-04-04,NA,"Orientação de bancada na votação do Projeto de Decreto Legislativo nº 860-A, de 2017, sobre a aprovação dos textos do Protocolo referente ao Acordo de Madri relativo ao Registro Internacional de Marcas, adotado em Madri, em 27 de junho de 1989, e do respectivo Regulamento Comum do Acordo de Madri relativo ao Registro Internacional de Marcas e do Protocolo concernente a esse Acordo, bem como a formulação de declarações e notificações. Transcurso do aniversário natalício do Deputado Marcos Pereira.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=5%2F4%2F2019&txPagina=44&txSuplemento=&enviar=Pesquisar
1508,1156190,camara,PELA ORDEM,2019-04-09,NA,Manobras de Deputados oposicionistas para impedimento da tramitação da proposta de reforma previdenciária na Comissão de Constituição e Justiça e de Cidadania.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=10%2F4%2F2019&txPagina=128&txSuplemento=&enviar=Pesquisar
