id_votacao,id_parlamentar_voz,voto
1198512-250,1178876,1
1198512-250,1178879,1
1198512-250,1178881,1
1198512-250,1178882,1
1198512-250,1178884,1
1198512-250,1178886,1
1198512-250,1178889,1
1198512-250,1178895,1
1198512-250,1178896,1
1198512-250,1178908,1
1198512-250,1178909,1
1198512-250,1178910,1
1198512-250,1178912,1
1198512-250,1178916,1
1198512-250,1178920,1
1198512-250,1178921,1
1198512-250,1178922,1
1198512-250,1178924,1
1198512-250,1178925,1
1198512-250,1178927,1
1198512-250,1178928,1
1198512-250,1178929,1
1198512-250,1178930,1
1198512-250,1178931,1
1198512-250,1178933,1
1198512-250,1178934,1
1198512-250,1178939,1
1198512-250,1178945,1
1198512-250,1178946,1
1198512-250,1178947,1
1198512-250,1178948,1
1198512-250,1178951,1
1198512-250,1178952,1
1198512-250,1178953,1
1198512-250,1178954,1
1198512-250,1178956,1
1198512-250,1178959,1
1198512-250,1178961,1
1198512-250,1178962,1
1198512-250,1178964,1
1198512-250,1178966,1
1198512-250,1178969,1
1198512-250,1178970,1
1198512-250,1178972,1
1198512-250,1178975,1
1198512-250,1178977,1
1198512-250,1178981,1
1198512-250,1178983,1
1198512-250,1178985,1
1198512-250,1178986,1
1198512-250,1178987,1
1198512-250,1178990,1
1198512-250,1178992,1
1198512-250,1178993,1
1198512-250,1178994,1
1198512-250,1178996,1
1198512-250,1178997,1
1198512-250,1179001,1
1198512-250,1179587,1
1198512-250,1188097,1
1198512-250,1191923,1
1198512-250,1193726,-1
1198512-250,1194260,1
1198512-250,1196358,1
1198512-250,1198197,1
1198512-250,1198783,1
1198512-250,1204351,1
1198512-250,1204352,1
1198512-250,1204353,1
1198512-250,1204354,1
1198512-250,1204355,1
1198512-250,1204356,1
1198512-250,1204357,1
1198512-250,1204358,1
1198512-250,1204359,1
1198512-250,1204360,1
1198512-250,1204361,1
1198512-250,1204362,1
1198512-250,1204363,1
1198512-250,1204364,1
1198512-250,1204365,1
1198512-250,1204366,1
1198512-250,1204367,1
1198512-250,1204368,1
1198512-250,1204369,1
1198512-250,1204370,1
1198512-250,1204371,1
1198512-250,1204372,1
1198512-250,1204373,1
1198512-250,1204374,-1
1198512-250,1204375,1
