id_parlamentar_voz,ano,casa,dias_com_sessoes_deliberativas,dias_presentes,dias_ausencias_justificadas,dias_ausencias_nao_justificadas
1141417,2019,camara,113,101,3,9
1141417,2020,camara,102,85,12,5
1141417,2021,camara,79,75,3,1
1141421,2019,camara,113,99,4,10
1141421,2020,camara,102,96,4,2
1141421,2021,camara,79,74,3,2
1141422,2019,camara,113,102,10,1
1141422,2020,camara,102,95,7,0
1141422,2021,camara,78,70,8,0
1141427,2019,camara,113,105,7,1
1141427,2020,camara,102,98,3,1
1141427,2021,camara,79,77,0,2
1141428,2019,camara,113,97,16,0
1141428,2020,camara,52,43,9,0
1141431,2019,camara,113,99,6,8
1141431,2020,camara,102,100,1,1
1141431,2021,camara,79,79,0,0
1141434,2019,camara,113,87,19,7
1141434,2020,camara,102,100,2,0
1141434,2021,camara,79,79,0,0
1141439,2019,camara,113,94,16,3
1141439,2020,camara,102,98,3,1
1141439,2021,camara,79,76,0,3
1141450,2019,camara,113,106,6,1
1141450,2020,camara,102,97,3,2
1141450,2021,camara,79,75,3,1
1141458,2019,camara,113,95,16,2
1141458,2020,camara,102,91,6,5
1141458,2021,camara,79,75,1,3
1141459,2019,camara,113,113,0,0
1141459,2020,camara,102,99,2,1
1141459,2021,camara,79,79,0,0
1141464,2019,camara,113,82,30,1
1141464,2020,camara,102,97,4,1
1141464,2021,camara,79,79,0,0
1141470,2019,camara,113,107,6,0
1141470,2020,camara,102,99,3,0
1141470,2021,camara,79,79,0,0
1141478,2021,camara,53,53,0,0
1141488,2019,camara,113,106,6,1
1141488,2020,camara,102,100,1,1
1141488,2021,camara,79,78,0,1
1141508,2019,camara,113,113,0,0
1141508,2020,camara,102,100,2,0
1141508,2021,camara,79,77,1,1
1141513,2019,camara,70,60,10,0
1141513,2020,camara,86,86,0,0
1141513,2021,camara,79,79,0,0
1141515,2021,camara,66,66,0,0
1141516,2019,camara,113,97,8,8
1141516,2020,camara,102,97,3,2
1141516,2021,camara,79,76,0,3
1141518,2019,camara,113,84,29,0
1141518,2020,camara,102,93,9,0
1141518,2021,camara,79,74,5,0
1141523,2019,camara,113,104,9,0
1141523,2020,camara,102,102,0,0
1141523,2021,camara,79,78,0,1
1141531,2019,camara,113,105,4,4
1141531,2020,camara,102,98,3,1
1141531,2021,camara,79,76,3,0
1141552,2019,camara,44,42,1,1
1141552,2021,camara,40,40,0,0
1141553,2019,camara,113,104,8,1
1141553,2020,camara,102,98,4,0
1141553,2021,camara,79,79,0,0
1141555,2019,camara,113,94,17,2
1141555,2020,camara,102,98,3,1
1141555,2021,camara,79,78,1,0
1143084,2019,camara,113,107,4,2
1143084,2020,camara,102,100,2,0
1143084,2021,camara,79,77,1,1
1143632,2019,camara,113,87,23,3
1143632,2020,camara,80,74,6,0
1143632,2021,camara,79,76,2,1
1146307,2019,camara,113,104,4,5
1146307,2020,camara,102,100,2,0
1146307,2021,camara,79,75,2,2
1146788,2019,camara,113,90,7,16
1146788,2020,camara,102,99,1,2
1146788,2021,camara,79,79,0,0
1150418,2019,camara,113,100,9,4
1150418,2020,camara,102,98,4,0
1150418,2021,camara,79,77,2,0
1151208,2019,camara,113,87,10,16
1151208,2020,camara,102,98,3,1
1151208,2021,camara,79,78,0,1
1152605,2019,camara,113,108,5,0
1152605,2020,camara,102,102,0,0
1152605,2021,camara,79,78,1,0
1152610,2019,camara,113,99,12,2
1152610,2020,camara,102,102,0,0
1152610,2021,camara,79,79,0,0
1154178,2019,camara,113,103,9,1
1154178,2020,camara,102,96,5,1
1154178,2021,camara,55,55,0,0
1156190,2019,camara,113,102,11,0
1156190,2020,camara,102,100,2,0
1156190,2021,camara,79,78,1,0
1157130,2019,camara,113,104,7,2
1157130,2020,camara,102,98,2,2
1157130,2021,camara,79,79,0,0
1159237,2019,camara,113,84,29,0
1159237,2020,camara,59,54,5,0
1160508,2019,camara,113,109,1,3
1160508,2020,camara,102,99,1,2
1160508,2021,camara,79,62,16,1
1160510,2019,camara,113,89,24,0
1160510,2020,camara,102,92,10,0
1160510,2021,camara,79,79,0,0
1160511,2019,camara,113,105,8,0
1160511,2020,camara,102,97,5,0
1160511,2021,camara,79,79,0,0
1160512,2019,camara,113,99,9,5
1160512,2020,camara,102,98,2,2
1160512,2021,camara,79,79,0,0
1160517,2019,camara,1,1,0,0
1160518,2019,camara,113,113,0,0
1160518,2020,camara,102,102,0,0
1160518,2021,camara,79,79,0,0
1160527,2019,camara,113,79,32,2
1160527,2020,camara,102,92,10,0
1160527,2021,camara,79,79,0,0
1160528,2019,camara,113,95,14,4
1160528,2020,camara,102,98,3,1
