id_proposicao,id_votacao,casa,obj_votacao,data_hora,votacao_secreta,apelido,status_importante,orientacao,url_votacao
2241660,2241660-99,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Júnior Mano (PL-CE), pela Comissão Mista do Congresso Nacional, que conclui pela consti...",2020-07-14T20:23:00Z,0,NA,0,1,NA
2241662,2241662-103,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T17:12:36Z,0,NA,0,1,NA
2241662,2241662-117,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T17:55:10Z,0,NA,0,1,NA
2241662,2241662-118,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T18:18:00Z,0,NA,0,1,NA
2241662,2241662-123,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T18:43:02Z,0,NA,0,1,NA
2241662,2241662-131,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T19:04:35Z,0,NA,0,1,NA
2241662,2241662-137,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T19:22:56Z,0,NA,0,1,NA
2241662,2241662-37,camara,"Apresentação do Requerimento n. 1304/2020, pelo Deputado Igor Timo  (PODE/MG), que ""Solicita a retirada da Emenda nº 377 da Medida Provisória nº 92...",2020-06-16T17:43:02Z,0,NA,0,-1,NA
2241662,2241662-46,camara,"Parecer proferido em Plenário pelo Relator, Dep. Celso Maldaner (MDB-SC), pela Comissão Mista do Congresso Nacional, que conclui que conclui pelo a...",2020-06-16T19:03:37Z,0,NA,0,-1,NA
2241662,2241662-66,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Celso Maldaner (MDB-SC), pela Comissão Mista do Congresso Nacional, que conclui, no mér...",2020-06-17T10:37:35Z,0,NA,0,-1,NA
2241662,2241662-72,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Celso Maldaner (MDB-SC), pela Comissão Mista do Congresso Nacional, que conclui, no mér...",2020-06-17T11:08:13Z,0,NA,0,-1,NA
2241662,2241662-76,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Celso Maldaner (MDB-SC), pela Comissão Mista do Congresso Nacional, que conclui, no mér...",2020-06-17T11:51:01Z,0,NA,0,1,NA
2241662,2241662-77,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Celso Maldaner (MDB-SC), pela Comissão Mista do Congresso Nacional, que conclui, no mér...",2020-06-17T12:26:33Z,0,NA,0,1,NA
2241662,2241662-79,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Celso Maldaner (MDB-SC), pela Comissão Mista do Congresso Nacional, que conclui, no mér...",2020-06-17T13:34:46Z,0,NA,0,1,NA
2241662,2241662-81,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Celso Maldaner (MDB-SC), pela Comissão Mista do Congresso Nacional, que conclui, no mér...",2020-06-17T14:02:01Z,0,NA,0,-1,NA
2241662,2241662-85,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Celso Maldaner (MDB-SC), pela Comissão Mista do Congresso Nacional, que conclui, no mér...",2020-06-17T14:51:45Z,0,NA,0,1,NA
2241662,2241662-90,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T15:27:13Z,0,NA,0,-1,NA
2241662,2241662-93,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T16:02:53Z,0,NA,0,-1,NA
2241662,2241662-96,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T16:29:31Z,0,NA,0,1,NA
2241662,2241662-98,camara,"Apresentação da Declaração de Voto n. 2 MESA, pela Deputada Professora Rosa Neide  (PT/MT).",2020-06-17T16:54:31Z,0,NA,0,-1,NA
2242000,2242000-151,camara,"Apresentação da Emenda/Substitutivo do Senado n. 1013/2020, pelo Senado Federal, que ""Emendas do Senado ao Projeto de Lei nº 1.013, de 2020, que “S...",2020-12-16T17:58:36Z,0,NA,0,-1,NA
2242000,2242000-83,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Marcelo Aro (PP-MG), pela Comissão de Constituição e Justiça e de Cidadania, que conclu...",2020-06-17T20:30:36Z,0,NA,0,-1,NA
2242000,2242000-90,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Marcelo Aro (PP-MG), pela Comissão de Constituição e Justiça e de Cidadania, que conclu...",2020-06-17T21:06:18Z,0,NA,0,1,NA
2242140,2242140-138,camara,"Parecer proferido em Plenário pelo Relator, Dep. Moses Rodrigues (MDB-CE), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela...",2020-06-18T17:20:08Z,0,NA,0,1,NA
2242140,2242140-63,camara,"Apresentação do Requerimento n. 773/2020, pela Deputada Celina Leão  (PP/DF), que ""Requer a apensação do Projeto de Lei nº 1724/2020 ao Projeto de ...",2020-04-28T17:27:41Z,0,NA,0,-1,NA
2242140,2242140-72,camara,"Apresentação do Requerimento n. 773/2020, pela Deputada Celina Leão  (PP/DF), que ""Requer a apensação do Projeto de Lei nº 1724/2020 ao Projeto de ...",2020-04-28T18:38:40Z,0,NA,0,-1,NA
2242140,2242140-81,camara,"Apresentação do Requerimento n. 773/2020, pela Deputada Celina Leão  (PP/DF), que ""Requer a apensação do Projeto de Lei nº 1724/2020 ao Projeto de ...",2020-04-28T20:22:21Z,0,NA,0,-1,NA
2242282,2242282-7,camara,"Apresentação do Requerimento de Urgência (Art. 155 do RICD) n. 525/2020, pela Deputada Joice Hasselmann (PSL-SP), que: ""Requer a urgência, nos term...",2020-04-09T10:53:13Z,0,NA,0,1,NA
2242322,2242322-7,camara,"Apresentação do Requerimento de Urgência (Art. 155 do RICD) n. 533/2020, pelo Deputado José Guimarães (PT-CE), que: ""Requer a urgência na tramitaçã...",2020-06-09T15:06:42Z,0,NA,0,1,NA
2242400,2242400-83,camara,"Parecer à Emenda de Plenário proferido pelo Relator, Dep. Hugo Leal (PSD-RJ), pela Comissão Mista do Congresso Nacional, que conclui pela aprovação...",2020-06-16T17:21:08Z,0,NA,0,1,NA
2242413,2242413-59,camara,"Apresentação do Projeto de Lei de Conversão n. 22/2020, pela Deputada Luisa Canziani (PTB-PR), que: ""[EMENTA!]"".",2020-07-07T16:01:40Z,0,NA,0,-1,NA
2242413,2242413-81,camara,"Apresentação do Projeto de Lei de Conversão n. 22/2020, pela Deputada Luisa Canziani (PTB-PR), que: ""[EMENTA!]"".",2020-07-07T17:42:23Z,0,NA,0,-1,NA
2242488,2242488-47,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Acácio Favacho (PROS-AP), que conclui pela adequação financeira e orçamentária das emen...",2020-04-29T18:54:55Z,0,NA,0,-1,NA
2242488,2242488-56,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Acácio Favacho (PROS-AP), que conclui pela adequação financeira e orçamentária das emen...",2020-04-29T20:56:37Z,0,NA,0,-1,NA
