id_proposicao,id_votacao,id_parlamentar,casa,voto
2140098,2140098-34,204400,camara,1
2140098,2140098-34,204414,camara,1
2140098,2140098-34,204434,camara,1
2140098,2140098-34,204436,camara,1
2140098,2140098-34,204438,camara,1
2140098,2140098-34,204473,camara,1
2140098,2140098-34,204510,camara,1
2140098,2140098-34,207309,camara,1
2140098,2140098-34,211866,camara,1
2170496,2170496-89,73466,camara,1
2170496,2170496-89,73486,camara,1
2170496,2170496-89,73586,camara,1
2170496,2170496-89,73696,camara,1
2170496,2170496-89,73801,camara,-1
2170496,2170496-89,73891,camara,1
2170496,2170496-89,74159,camara,-1
2170496,2170496-89,74160,camara,-1
2170496,2170496-89,74366,camara,1
2170496,2170496-89,74398,camara,-1
2170496,2170496-89,74571,camara,-1
2170496,2170496-89,75431,camara,1
2170496,2170496-89,98057,camara,1
2170496,2170496-89,116379,camara,1
2170496,2170496-89,141405,camara,1
2170496,2170496-89,141470,camara,-1
2170496,2170496-89,141516,camara,1
2170496,2170496-89,146788,camara,1
2170496,2170496-89,160512,camara,1
2170496,2170496-89,160528,camara,1
2170496,2170496-89,160545,camara,1
2170496,2170496-89,160575,camara,-1
2170496,2170496-89,160587,camara,1
2170496,2170496-89,160600,camara,-1
2170496,2170496-89,160642,camara,1
2170496,2170496-89,160651,camara,1
2170496,2170496-89,160669,camara,1
2170496,2170496-89,160673,camara,1
2170496,2170496-89,177282,camara,1
2170496,2170496-89,178835,camara,1
2170496,2170496-89,178860,camara,1
2170496,2170496-89,178874,camara,1
2170496,2170496-89,178908,camara,1
2170496,2170496-89,178927,camara,1
2170496,2170496-89,178939,camara,-1
2170496,2170496-89,178948,camara,1
2170496,2170496-89,178953,camara,1
2170496,2170496-89,178961,camara,1
2170496,2170496-89,178977,camara,1
2170496,2170496-89,178981,camara,1
2170496,2170496-89,178990,camara,1
2170496,2170496-89,193726,camara,1
2170496,2170496-89,204359,camara,1
2170496,2170496-89,204365,camara,1
2170496,2170496-89,204367,camara,1
2170496,2170496-89,204369,camara,1
2170496,2170496-89,204374,camara,1
2170496,2170496-89,204395,camara,1
2170496,2170496-89,204398,camara,1
2170496,2170496-89,204406,camara,1
2170496,2170496-89,204418,camara,1
2170496,2170496-89,204429,camara,-1
2170496,2170496-89,204430,camara,1
2170496,2170496-89,204438,camara,1
2170496,2170496-89,204464,camara,-1
2170496,2170496-89,204479,camara,1
2170496,2170496-89,204501,camara,-1
2170496,2170496-89,204512,camara,1
2170496,2170496-89,204526,camara,1
2170496,2170496-89,204556,camara,1
2170496,2170496-89,204576,camara,1
2170496,2170496-89,205865,camara,1
2170504,2170504-45,90842,camara,1
2170504,2170504-45,137070,camara,1
2170504,2170504-45,141450,camara,1
2170504,2170504-45,141488,camara,-1
2170504,2170504-45,160545,camara,1
2170504,2170504-45,178829,camara,1
2170504,2170504-45,178881,camara,1
2170504,2170504-45,204373,camara,1
2170504,2170504-45,204387,camara,1
2170504,2170504-45,204416,camara,1
2170504,2170504-45,204420,camara,1
2170504,2170504-45,204427,camara,1
2170504,2170504-45,204451,camara,1
2170504,2170504-45,204454,camara,1
2170504,2170504-45,204458,camara,1
2170504,2170504-45,204461,camara,-1
2170504,2170504-45,204473,camara,1
2170504,2170504-45,204487,camara,1
2170504,2170504-45,204520,camara,1
2170504,2170504-45,204529,camara,1
2170504,2170504-45,204531,camara,1
2182708,2182708-94,73466,camara,1
2182708,2182708-94,73486,camara,-1
2182708,2182708-94,73696,camara,1
2182708,2182708-94,73801,camara,-1
2182708,2182708-94,74159,camara,-1
2182708,2182708-94,74160,camara,-1
2182708,2182708-94,74161,camara,-1
2182708,2182708-94,74366,camara,1
2182708,2182708-94,74398,camara,-1
2182708,2182708-94,98057,camara,1
2182708,2182708-94,116379,camara,1
2182708,2182708-94,137070,camara,1
2182708,2182708-94,141405,camara,1
2182708,2182708-94,141516,camara,1
2182708,2182708-94,141518,camara,1
2182708,2182708-94,146788,camara,1
2182708,2182708-94,160545,camara,1
2182708,2182708-94,160575,camara,-1
2182708,2182708-94,160587,camara,1
2182708,2182708-94,160604,camara,-1
2182708,2182708-94,160642,camara,1
2182708,2182708-94,160651,camara,1
2182708,2182708-94,178829,camara,1
2182708,2182708-94,178835,camara,-1
2182708,2182708-94,178860,camara,1
2182708,2182708-94,178874,camara,-1
2182708,2182708-94,178922,camara,-1
2182708,2182708-94,178953,camara,-1
2182708,2182708-94,178977,camara,1
2182708,2182708-94,178981,camara,1
2182708,2182708-94,178990,camara,1
2182708,2182708-94,193726,camara,1
2182708,2182708-94,204365,camara,1
2182708,2182708-94,204367,camara,1
2182708,2182708-94,204369,camara,1
2182708,2182708-94,204392,camara,1
2182708,2182708-94,204395,camara,1
2182708,2182708-94,204398,camara,1
2182708,2182708-94,204416,camara,1
2182708,2182708-94,204418,camara,1
2182708,2182708-94,204429,camara,-1
2182708,2182708-94,204438,camara,1
2182708,2182708-94,204442,camara,1
2182708,2182708-94,204462,camara,1
2182708,2182708-94,204472,camara,1
2182708,2182708-94,204501,camara,-1
2182708,2182708-94,204512,camara,1
2182708,2182708-94,204526,camara,1
2182708,2182708-94,204536,camara,1
2182708,2182708-94,204541,camara,1
2182708,2182708-94,204556,camara,1
2182708,2182708-94,204576,camara,1
2182708,2182708-94,205865,camara,1
2192459,2192459-114,73466,camara,1
2192459,2192459-114,73586,camara,-1
2192459,2192459-114,73801,camara,-1
2192459,2192459-114,74160,camara,-1
2192459,2192459-114,74366,camara,1
2192459,2192459-114,74398,camara,-1
2192459,2192459-114,74571,camara,-1
2192459,2192459-114,75431,camara,1
2192459,2192459-114,98057,camara,1
2192459,2192459-114,115746,camara,1
2192459,2192459-114,116379,camara,1
