id_parlamentar,casa,ano,dias_ausencias_justificadas,dias_ausencias_nao_justificadas,dias_com_sessoes_deliberativas,dias_presentes
141434,camara,2019,18,7,107,82
141434,camara,2020,0,0,78,78
141439,camara,2019,15,3,107,89
141439,camara,2020,2,0,78,76
141450,camara,2019,6,0,107,101
141450,camara,2020,3,2,78,73
141458,camara,2019,16,2,107,89
141458,camara,2020,5,6,78,67
141459,camara,2019,0,0,107,107
141459,camara,2020,1,0,78,77
141464,camara,2019,29,1,107,77
141464,camara,2020,2,2,78,74
141470,camara,2019,6,0,107,101
141470,camara,2020,1,0,78,77
141488,camara,2019,6,1,107,100
141488,camara,2020,1,1,78,76
141508,camara,2019,0,0,107,107
141508,camara,2020,1,1,78,76
141513,camara,2019,9,0,67,58
141513,camara,2020,0,0,67,67
141516,camara,2019,8,8,107,91
141516,camara,2020,1,2,78,75
141518,camara,2019,28,0,107,79
141518,camara,2020,8,0,78,70
141523,camara,2019,8,0,107,99
141523,camara,2020,0,0,78,78
141531,camara,2019,4,3,107,100
141531,camara,2020,3,1,78,74
141552,camara,2019,1,1,43,41
141553,camara,2019,8,1,107,98
141553,camara,2020,2,0,78,76
141555,camara,2019,16,2,107,89
141555,camara,2020,1,0,78,77
143084,camara,2019,4,2,107,101
143084,camara,2020,2,0,78,76
143632,camara,2019,23,2,107,82
143632,camara,2020,4,0,65,61
146307,camara,2019,4,5,107,98
146307,camara,2020,0,1,78,77
146788,camara,2019,7,15,107,85
146788,camara,2020,1,2,78,75
150418,camara,2019,9,4,107,94
150418,camara,2020,2,0,78,76
151208,camara,2019,9,16,107,82
151208,camara,2020,1,1,78,76
152605,camara,2019,5,0,107,102
152605,camara,2020,0,0,78,78
152610,camara,2019,11,2,107,94
152610,camara,2020,0,0,78,78
154178,camara,2019,9,1,107,97
154178,camara,2020,3,1,78,74
156190,camara,2019,10,0,107,97
156190,camara,2020,2,0,78,76
157130,camara,2019,7,2,107,98
157130,camara,2020,0,3,78,75
159237,camara,2019,27,0,107,80
159237,camara,2020,4,0,52,48
160508,camara,2019,1,3,107,103
160508,camara,2020,1,2,78,75
160510,camara,2019,22,0,107,85
160510,camara,2020,8,0,78,70
160511,camara,2019,8,0,107,99
160511,camara,2020,5,0,78,73
160512,camara,2019,9,5,107,93
160512,camara,2020,2,1,78,75
160517,camara,2019,0,0,1,1
160518,camara,2019,0,0,107,107
160518,camara,2020,0,0,78,78
160527,camara,2019,31,2,107,74
160527,camara,2020,10,0,78,68
160528,camara,2019,13,3,107,91
160528,camara,2020,2,1,78,75
160531,camara,2019,19,2,107,86
160531,camara,2020,10,0,78,68
160532,camara,2019,0,7,105,98
160532,camara,2020,0,0,57,57
160534,camara,2019,4,1,107,102
160534,camara,2020,1,1,78,76
160535,camara,2019,11,6,107,90
160535,camara,2020,1,1,78,76
160538,camara,2019,4,0,107,103
160538,camara,2020,1,2,78,75
160541,camara,2019,35,0,107,72
160541,camara,2020,23,0,78,55
160545,camara,2019,0,2,107,105
160545,camara,2020,1,0,78,77
160552,camara,2019,4,15,107,88
160552,camara,2020,1,5,78,72
160553,camara,2019,5,2,107,100
160553,camara,2020,1,0,78,77
160556,camara,2019,5,3,107,99
160556,camara,2020,1,1,78,76
